id,name,categ_id/id,type,uom_id/id,uom_po_id/id,purchase_ok,sale_ok,tracking,use_expiration_date,invoice_policy
init.67869ec2-2ffd-4c3b-9a66-57f0fa15753a,Acide Folique 5mg/5ml Sirop (Flacon),product.categ_products_drug_orders,product,init.6eaf22c5-60e2-4e10-bcd3-cbe875bb5a1f,init.6eaf22c5-60e2-4e10-bcd3-cbe875bb5a1f,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.54e2bf22-e7dc-48d5-9ee1-8132e1a354c7,Acide tranexamique 1g/4ml (Amp),product.categ_products_drug_orders,product,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.98a03243-932c-4a96-8120-c77dc427bafa,Adrenaline 1mg/ml Injectable (Amp),product.categ_products_drug_orders,product,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.4981e67f-8350-4196-8113-41a0f2f6bbed,Albendazole 400mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.9d3a279a-6ac4-4185-b5d1-ccd640e0e384,Albendazole 400mg Comprime (PAQ/2),product.categ_products_drug_orders,product,init.e047c792-e62d-4402-8cad-756a02d140cd,init.e047c792-e62d-4402-8cad-756a02d140cd,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.063f0621-1c30-4f49-b0f9-d1791885bb0d,Albendazole 400mg/10ml Susp. (Flacon/10ml),product.categ_products_drug_orders,product,init.935819ff-0126-4e64-b7ff-1948a5c7317e,init.935819ff-0126-4e64-b7ff-1948a5c7317e,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.f12e48f1-a606-4fd4-b3f9-7382e946fd7f,Albumin 25% Injectable (Flacon),product.categ_products_drug_orders,product,init.6eaf22c5-60e2-4e10-bcd3-cbe875bb5a1f,init.6eaf22c5-60e2-4e10-bcd3-cbe875bb5a1f,TRUE,FALSE,By Lots,TRUE,Ordered quantities
init.b7cc90fe-508e-404d-b932-4dc800ba538f,Albuterol 2.5mg/3ml Solution (Flacon/3ml),product.categ_products_drug_orders,product,init.8d2d23f3-c6c4-4c8d-9567-5d385ea936e4,init.8d2d23f3-c6c4-4c8d-9567-5d385ea936e4,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.c2ade8a2-5b9f-4434-90f4-3a32cab73d1c,Alcohol 70 degrees (70%) Liguid (GAL),product.categ_products_drug_orders,product,init.191e8434-6087-4b8c-b30c-0fa01cd53ccb,init.3cbac683-bb0c-49d2-b6bf-007022c73ec1,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.d8199934-82b6-4729-841d-22671539f6ea,Aliments Suplementaires Prets a l'emploi (ASPE) (Paquet),product.categ_products_drug_orders,product,init.e6727dc7-967d-4bf6-9caf-af8a4997a62d,init.e6727dc7-967d-4bf6-9caf-af8a4997a62d,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.ea3d813b-35a3-49ba-a619-27e6bfb853bf,Aliments Suplementaires Prets a l'emploi (ATPE) (Paquet),product.categ_products_drug_orders,product,init.e6727dc7-967d-4bf6-9caf-af8a4997a62d,init.e6727dc7-967d-4bf6-9caf-af8a4997a62d,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.ba9af153-d96e-4e67-be0b-b2fb3afec06d,Aluminum & Magnesium hydroxide & Simethicone 550mg/15ml Susp. (Flacon/240ml),product.categ_products_drug_orders,product,init.3b10054a-3ccb-47ee-82d8-d545822ea328,init.3b10054a-3ccb-47ee-82d8-d545822ea328,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.50cd73f1-e43f-45ac-b34f-d592bbac462f,Aminophyllin 100mg/5ml Injectable (Amp),product.categ_products_drug_orders,product,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.0442f73a-25e4-4d26-9775-67a14a9ba344,Amiodarone 150mg/3ml Injectable (Vial),product.categ_products_drug_orders,product,init.d7218e57-1380-43f6-bd39-2df185ec53d2,init.d7218e57-1380-43f6-bd39-2df185ec53d2,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.8c3d0216-5ca3-4c3d-a450-22f7fa417f95,Amiodarone 200mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,Ordered quantities
init.45ddaf4f-067b-4ffc-903c-e928473a5481,Amiodarone 200mg Comprime (PAQ/30),product.categ_products_drug_orders,product,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.7baca14a-d868-4f59-b0f2-b83af13df5a2,Amlodipine 10mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.977c707e-5e5f-4fd2-ace2-a94ca337596d,Amlodipine 10mg Comprime (PAQ/30),product.categ_products_drug_orders,product,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.6c32edca-6ada-42dd-a781-d33f0d3f71ef,Amlodipine 5mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.965fc5df-774b-490b-a9cf-612edca52e4f,Amlodipine 5mg Comprime (PAQ/30),product.categ_products_drug_orders,product,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.09b692c2-5deb-408b-967f-9f066228c58f,Amoxicillin & Clavulanic acid 250+62.5mg/5ml Susp. (Flacon/120ml),product.categ_products_drug_orders,product,init.e7445030-1136-41e3-8745-72ac9b03a2df,init.e7445030-1136-41e3-8745-72ac9b03a2df,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.acdf671e-da99-44b7-91c0-37e5853b2ca5,Amoxicillin & Clavulanic acid 500mg+125mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.df721c53-7c8a-460b-ae00-a4d6d9181e01,Amoxicillin & Clavulanic acid 500mg+125mg Comprime (PAQ/20),product.categ_products_drug_orders,product,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.4223c03c-dd05-4a9f-8d91-af629b0ba4be,Amoxicillin 125mg/5ml Susp. (Flacon/100ml),product.categ_products_drug_orders,product,init.3b10054a-3ccb-47ee-82d8-d545822ea328,init.3b10054a-3ccb-47ee-82d8-d545822ea328,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.a624c1f2-4436-41db-9328-907214c484e7,Amoxicillin 250mg/5ml Susp. (Flacon/100ml),product.categ_products_drug_orders,product,init.3b10054a-3ccb-47ee-82d8-d545822ea328,init.3b10054a-3ccb-47ee-82d8-d545822ea328,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.26448d9e-d985-47f6-bc4d-85db3bd76615,Amoxicillin 500mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.bc1a0f9e-bf4a-458e-81e3-d47f6b84a4a5,Amoxicillin 500mg Comprime (PAQ/20),product.categ_products_drug_orders,product,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.465654ba-f8e2-46a2-847a-00c77fc78203,Ampicillin 1g Injectable (Flacon),product.categ_products_drug_orders,product,init.6eaf22c5-60e2-4e10-bcd3-cbe875bb5a1f,init.6eaf22c5-60e2-4e10-bcd3-cbe875bb5a1f,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.04437088-e26e-4a06-8b02-fe27a75c9879,Aspirin 81mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.0e25fe0f-0797-4720-8d70-fe657432b2b2,Aspirin 81mg Comprime (PAQ/30),product.categ_products_drug_orders,product,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.a2d6ae6a-68e0-477c-a56d-5158c8d01298,Atenolol 50mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.82548b8c-8d07-4fe2-93e8-b63ec27dfb86,Atenolol 50mg Comprime (PAQ/30),product.categ_products_drug_orders,product,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.9dc4c548-53f2-477d-a24d-91d7c4e721ea,Atropine 1mg/ml Injectable (Flacon),product.categ_products_drug_orders,product,init.6eaf22c5-60e2-4e10-bcd3-cbe875bb5a1f,init.6eaf22c5-60e2-4e10-bcd3-cbe875bb5a1f,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.7f70a6a9-5cec-4ec7-8358-195e2e9e6839,Azithromycin 200mg/5ml Susp. (Flacon/30ml),product.categ_products_drug_orders,product,init.0a98a3e6-3a77-4a24-9839-2827d38a6a31,init.0a98a3e6-3a77-4a24-9839-2827d38a6a31,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.bd3bb1ec-cf99-471e-9c1c-00b553b78a6f,Azithromycin 500mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.9779f643-b66c-4611-87ab-69fffb29f4a2,Azithromycin 500mg Comprime (PAQ/3),product.categ_products_drug_orders,product,init.f4ef97de-7f88-48aa-bb23-9d7dec44cc53,init.f4ef97de-7f88-48aa-bb23-9d7dec44cc53,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.1a95b2f1-ad8f-4834-8b67-03f57be17fcc,B Complex Sirop 92.5mg/5ml (Flacon/120ml),product.categ_products_drug_orders,product,init.e7445030-1136-41e3-8745-72ac9b03a2df,init.e7445030-1136-41e3-8745-72ac9b03a2df,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.4000acbf-d913-4347-8367-7d14c468e125,Belladone & phenobarbital 16.3mg/5ml (Flacon/60ml),product.categ_products_drug_orders,product,init.ac501594-d99a-42e9-a713-08d1f8ca1cef,init.ac501594-d99a-42e9-a713-08d1f8ca1cef,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.ba1ef865-1cba-49f5-925b-0913ac8994dd,Benzathine PCN 2.4MUI Injectable (Vial),product.categ_products_drug_orders,product,init.d7218e57-1380-43f6-bd39-2df185ec53d2,init.d7218e57-1380-43f6-bd39-2df185ec53d2,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.b692441b-f03c-414e-a171-699d63f44d26,Benzocaine & Enoxolone & Dodeclonium & Esculoside (Sédorrhoide) Onguent hemmorroidal 3.79g/30g (Tube/30),product.categ_products_drug_orders,product,init.c8eb9e8f-f51d-4a8f-9e3a-cdc13005aace,init.c8eb9e8f-f51d-4a8f-9e3a-cdc13005aace,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.5c843719-12c2-4f92-a952-3037e3a7184c,Benzyl benzoate 25% Lotion (Flacon/100ml),product.categ_products_drug_orders,product,init.ee54972c-e732-407d-95b3-d2b559208373,init.ee54972c-e732-407d-95b3-d2b559208373,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.9583ae4d-da99-4daf-a059-5dc84304bee4,Benzyl PCN 5MUI Injectable (Vial),product.categ_products_drug_orders,product,init.d7218e57-1380-43f6-bd39-2df185ec53d2,init.d7218e57-1380-43f6-bd39-2df185ec53d2,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.85f5feb0-0ea2-4118-b5bb-868a6eb78e55,Benzyl PCN Procaine 3MUI+1MUI Injectable (Vial),product.categ_products_drug_orders,product,init.d7218e57-1380-43f6-bd39-2df185ec53d2,init.d7218e57-1380-43f6-bd39-2df185ec53d2,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.320ac100-2a20-4b10-9569-89415bda266f,Biperidene lactate 2mg Injectable (Amp),product.categ_products_drug_orders,product,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.1ea3f276-d4e0-4fd2-b8e1-ef3087b795a3,Bisacodyl 10mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.f3417290-fb56-4741-a079-e19b56c015d9,Bisacodyl 10mg Comprime (PAQ/10),product.categ_products_drug_orders,product,init.50d348c0-9290-4339-ad55-9a752ad65b1e,init.50d348c0-9290-4339-ad55-9a752ad65b1e,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.56df8cd5-3745-4910-89e5-91490b79a159,Bisacodyl 5mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.3d3593c6-64af-4046-891b-260c03b6fcfb,Bisacodyl 5mg Comprime (PAQ/10),product.categ_products_drug_orders,product,init.50d348c0-9290-4339-ad55-9a752ad65b1e,init.50d348c0-9290-4339-ad55-9a752ad65b1e,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.fdd22e85-6d69-414e-bbc8-7a26d90a7c70,Brimonidine & timolol 0.2%+0.5% Gtte (Flacon/10ml),product.categ_products_drug_orders,product,init.935819ff-0126-4e64-b7ff-1948a5c7317e,init.935819ff-0126-4e64-b7ff-1948a5c7317e,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.e5a53faf-eddc-4ec0-9e8d-0132bf1176d7,Brimonidine tartrate 0.15% Gtte (Flacon),product.categ_products_drug_orders,product,init.6eaf22c5-60e2-4e10-bcd3-cbe875bb5a1f,init.6eaf22c5-60e2-4e10-bcd3-cbe875bb5a1f,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.8fcc5efa-8e63-46a9-87a7-6473a4d87722,Bromexine & Salbutamol 8mg/5ml (Flacon/100ml),product.categ_products_drug_orders,product,init.ee54972c-e732-407d-95b3-d2b559208373,init.ee54972c-e732-407d-95b3-d2b559208373,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.d851d665-4b06-4905-88b9-38ad26a50ea8,Bromexine Sirop 4mg/5ml (Flacon/100ml),product.categ_products_drug_orders,product,init.ee54972c-e732-407d-95b3-d2b559208373,init.ee54972c-e732-407d-95b3-d2b559208373,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.02d20ad9-c903-45b4-bd68-6791dfa2b83e,Budenoside 0.5mg/2ml (amp) For Nebulisation,product.categ_products_drug_orders,product,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,init.6705f17a-242e-44dc-87fa-ed6a15f2a1cb,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.255fade8-42eb-4f96-a3a3-ee6194f2dab2,Budenoside 32mcg/spray (Flacon/10ml),product.categ_products_drug_orders,product,init.935819ff-0126-4e64-b7ff-1948a5c7317e,init.935819ff-0126-4e64-b7ff-1948a5c7317e,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.7884e91b-9d0f-4d89-bb11-df9a4cd11d65,Bupivacaine & glucose 0.5%+8.4% Injectable (Amp/4ml),product.categ_products_drug_orders,product,init.8fc3062b-3368-4fdf-bd7c-13ef0aaaed8f,init.8fc3062b-3368-4fdf-bd7c-13ef0aaaed8f,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.91aea75e-2126-462a-88d8-1222399aa109,Bupivacaine 0.5% Injectable (Vial),product.categ_products_drug_orders,product,init.d7218e57-1380-43f6-bd39-2df185ec53d2,init.d7218e57-1380-43f6-bd39-2df185ec53d2,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.489a04d1-fb60-49e3-8d0c-79c676a3a751,Calamine 8% Lotion (Flacon/120ml),product.categ_products_drug_orders,product,init.e7445030-1136-41e3-8745-72ac9b03a2df,init.e7445030-1136-41e3-8745-72ac9b03a2df,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.7557c377-e85d-477d-a47f-4babb790dffe,Calcium & vit 600mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.e2805e35-b1c6-4430-8626-7a21d8525958,Calcium & vit 600mg Comprime (PAQ/30),product.categ_products_drug_orders,product,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.0c74a5cf-177f-43ea-883c-ab9db2d12835,Calciferol 1000ui Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,TRUE,By Lots,TRUE,
init.a10e2665-fde9-4b2c-a8d3-5c24a62f7dd7,Calcium 500mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.c703930f-700a-4881-89e2-c1206e8053fe,Calcium 500mg Comprime (PAQ/30),product.categ_products_drug_orders,product,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.a1a25e47-25aa-43f6-a7a5-2ac200321241,Carbamazepine 200mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.df0139c4-ae5d-48a6-aa94-2495e6653834,Carbamazepine co 200mg (PAQ/30),product.categ_products_drug_orders,product,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.a8640545-0fc3-4760-911c-1ec6286460a9,Carvedilol 25mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,Ordered quantities
init.679d044e-b569-499a-b279-9a004bdeb6be,Carvedilol 25mg Comprime (PAQ/30),product.categ_products_drug_orders,product,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.ff3667a6-b38b-43d8-a9ed-729c832eae44,Carvedilol 6.25mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,Ordered quantities
init.60e587d9-94a1-46c7-9f68-da7db6734af0,Carvedilol 6.25mg Comprime (PAQ/30),product.categ_products_drug_orders,product,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.041c3441-4054-43b9-9fbe-52eb4566ca00,Carvedilol 3.125mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,Ordered quantities
init.17314234-0eaa-4937-b809-ea8b7811c75c,Carvedilol 3.125mg Comprime (PAQ/30),product.categ_products_drug_orders,product,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.69ccc6d1-b1e7-402e-9691-3a41117497d2,Cefalexin 250mg/5ml Susp. (Flacon/60ml),product.categ_products_drug_orders,product,init.ac501594-d99a-42e9-a713-08d1f8ca1cef,init.ac501594-d99a-42e9-a713-08d1f8ca1cef,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.44626bf5-9b4b-4f22-8422-6cb3a0247547,Cefalexin 500mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,
init.1da9b2dc-d74e-4ce5-bdba-c31a75409b12,Cefalexin 500mg Comprime (PAQ/20),product.categ_products_drug_orders,product,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,FALSE,TRUE,By Lots,TRUE,Ordered quantities
init.dbd6d969-de0c-49fd-be95-49ff9be64752,Cefotaxime 1g Injectable (Vial),product.categ_products_drug_orders,product,init.d7218e57-1380-43f6-bd39-2df185ec53d2,init.d7218e57-1380-43f6-bd39-2df185ec53d2,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.06aa3154-6cfc-4208-a083-d0242d7f0511,Ceftriaxone 1g Injectable (Vial),product.categ_products_drug_orders,product,init.d7218e57-1380-43f6-bd39-2df185ec53d2,init.d7218e57-1380-43f6-bd39-2df185ec53d2,TRUE,TRUE,By Lots,TRUE,Ordered quantities
init.112df736-9904-4e98-ab8c-4341b80dae2f,Celecoxib 200mg Comprime,product.categ_products_drug_orders,product,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,init.6fbbb779-94ca-4d83-8e02-8a559627b9fb,TRUE,FALSE,By Lots,TRUE,Ordered quantities
